OLASI SORULAR - PINAR AGENT 35 YAŞINDA ATİNADA YAŞIYOR,CEVAPLAR 
Yunanistan’da ikamet adresi göstermek zorunlu mu?,Yunanistanda ikamet göstermek zorunda değilsiniz 
Oturum izni kartı kaybolursa veya çalınırsa ne yapılır?,"Hemen yapmanız gerekenler

Polise (Local Police) başvurun — kart çalındıysa mutlaka hırsızlık bildirimi, kayıpsa kayıp bildirimi alın.

Polis tutanağı (police report) oturum kartı yenileme başvurusunda zorunludur.

Pasaportunuz da çalındıysa konsolosluğunuz/elbette en yakın Türk konsolosluğu/başkonsolosluğu ile irtibata geçip geçici seyahat belgesi / yeni pasaport işlemi başlatın.

Avukatınızı veya temsilcinizi bilgilendirin — varsa vekalet verdiğiniz avukat/devam eden dosya sorumlusu hemen harekete geçsin.

2) Yunan Göç (Aliens / Immigration) Makamlarına bildirim ve yenileme başvurusu

Polis raporu hazırlandıktan sonra yabancılar bürosuna (Aliens Authority / Αρχή Αλλοδαπών) kayıp/çalınma bildiriminde bulunup ikamet kartı yenileme / yeniden çıkarma başvurusu yapmalısınız.

Başvuruyu şahsen veya vekaletle avukatınız aracılığıyla yapabilirsiniz (avukat vekâletle de takip edebilir).

Başvuru sırasında genellikle size geçici belge (temporary certificate / geçici oturum belgesi) verilebilir; bu belge yasal olarak Yunanistan’da kalmaya devam etmenizi sağlar.

3) Gerekli belgeler (hazırlayın)

Polis raporunun (police report) aslı ve fotokopisi.

Pasaport (aslı ve fotokopi). Eğer pasaport çalındıysa konsolosluktan alınan geçici belge.

Mevcut oturum kartınızın fotokopisi veya önceki kartın numarası (varsa).

Kimlik fotoğrafları (biyometrik fotoğraf istenebilir).

AFM / vergi numarası belgesi (varsa).

Vekâletname (işlemi avukat yaptırıyorsa noter onaylı vekâlet).

Dilekçe / başvuru formu (göç makamları sağlar).

Yenileme/yeniden düzenleme ücreti (ödeme dekontu).

Not: Bürodan istenecek tam evrak listesi ofise göre değişebilir — başvuru yapacağınız ilin Aliens Bureau’sunu veya avukatınızı arayıp güncel belge listesini teyit edin."
Oturum izniyle banka kredisi veya telefon hattı alınabilir mi?,telefon kartının oturum izni ile bir ilişkisi yoktur 
yunanistanda banka hesabı açmak için gerekli belgeler,"https://www.investgreece.gr/index.php/2022/08/21/yunanistan-banka-hesabi-acmak-icin-gerekli-belgeler-entry-level/


BANKA HESABI AÇILIŞI İÇİN GEREKLİ BİLGİLER VE BELGELER

⚠️Önemli Notlar:

Banka hesabı açılışı için mülk satın alma işleminin tamamlanmış olması gerekir.

Açılış sırasında 10.000 EUR yatırılması zorunludur. Bu tutarın sizinle birlikte getirilmesi gerekir.

Banka hesabı açılışında kişinin şahsen burada bulunarak ıslak imza atması gerekir.

Banka referans mektubu ve ikametgah belgesi hariç tüm belgelerin YEMİNLİ TERCÜMAN TARAFINDAN İngilizce tercümesi gereklidir.

Gerekli Belgeler:

1. Vergi Levhası ve Kurumlar Vergi Beyannamesi

2. Resmi Gazete – Şirket Ana Sözleşmesi ve Hisse Dağıtımı (şirket ortağı olma durumunda)
VEYA
3. Maaş Bordrosu ve SGK Hizmet Dökümü + Vergi Beyannamesi / Gelir Beyannamesi

4. E-Devlet üzerinden alınmış ikametgah belgesi

5. Cep Telefonu Faturası – Türkiye’deki hattınıza ait
Eğer hattınız şirket tarafından ödeniyorsa, şirket antetli kağıda yazılmış ve hattın size ait olduğunu belirten İngilizce bir yazı gereklidir.

6. Yunanistan GSM Hattı (Vodafone veya diğer operatörlerden alınacak. Bu işlem tarafımızla birlikte yapılacaktır.) 
VEYA
7. Yunanistan'daki size ait mülkün adınıza çıkmış elektrik veya su faturası

8. Türkiye’deki transfer yapılacak bankadan alınacak Referans Mektubu (İngilizce olmalı) 
(Finansal varlıkları belirten yazı örneği aşağıda bulunmaktadır.)

9. Hesap hareketleri (son 6 ay – 1 yıl) (tercümesi gerekli değil)


Banka Referans Mektubu Örneği (İngilizce olarak alınacak):

TO WHOM IT MAY CONCERN

………..name and address of the beneficiary……..

We are pleased to inform you that ……………… are our well-known customer of our bank and no problem has been noticed in their banking transactions with us up to now.

The balance amounts of …………………….. accounts with our bank as of ………………. are as follows:"
Yunanistan’da uzun süre yaşamadan sadece yatırımımı koruyabilir miyim?,yunanistan oturum izni kanununa göre isterseniz hiç gelmeden oturum izni hakkınızı sağlayabilirsiniz 
Kaç yıl oturum izniyle yaşadıktan sonra vatandaşlık alınabilir?,yedi sene sürekli yaşarsanız vatandaşlığa başvuru hakkı sağlayabilirsiniz 
Vatandaşlık için dil şartı veya sınav var mı?,evet vatandaşlık başvuru aşamasında dil ve tarih sınavını geçmiş olmanız beklenir 
Çifte vatandaşlık mümkün mü?,türkiye ile yunanistan arasında çifte vatandaşlık anlaşması bulunmaktadır. hem türk hem yunan vatandaşlığı alabilirsiniz 
Vatandaşlık aldıktan sonra mülkü satabilir miyim?,vatandaş olduktan sonra mülkünüzü satabilirsiniz 
Vatandaşlık aldıktan sonra çocuklarım otomatik vatandaş olur mu?,evet vatandaş olduktan sonra çocuklar otomatik olarak yunan vatandaşı olur 
deprem ,
elimden alırlar mı ,
oturum izni iptal olur mu ,"oturum izni oturum izni için satın aldığınız mülk satıldıktan sonra düşer , kriminal bir suç işlediğiniz zaman oturum izniniz düşer "
evi satarsam oturum izni gider mi ,evi satarsanız oturum izni hemen düşer 
benim vizem yok başkasının vizesi ile gelebilir miyim ,
çalışabilir miyim ,yunanistan oturum izni kanununa göre yatırım yolu ile oturum izni almanız durumunda başka birinin yanında çalışmamazsınız 
Hangi türde gayrimenkuller Golden Visa’ya uygundur?,bu konuyu bay kosta ile konuşmanız daha sağlıklı olur 
"Konut dışında ticari mülk (ofis, otel, mağaza vb.) alınabilir mi?",evet konut tipi oturum izni anlamında önemli değil ancak bu konuyu bay kosta ile konuşmanız daha sağlıklı olur 
Arsa veya tarla alımı oturum izni sağlar mı?,evet arsa ve tarla oturum izni alabilirsiniz. bölgesel anlamda alt limit tutarına uyduğu sürece arsa ve tarla ile oturum izni alabilirsiniz 
Yeni yapılan (off-plan) projelerden ev alınabilir mi?,evet oturum izni alabilirsiniz 
Birden fazla küçük mülk alarak yatırım tutarını tamamlayabilir miyim?,hayır bu mümkün değil yeni oturum izni kurallarına göre bu mümkün değil 
Yalnızca tek bir mülk almak zorunda mıyım?,yeni oturum izni kanununa göre tek mülk almanız zorunludur ancak tek mülk tapusu ancak iki farklı daire alabilirsiniz . tek tapuda iki kapısı olan iki farklı daire iyi bir stratejidir ancak bu şekil mülkler çok kısıtlı sayıdadır. 
Tapuda hisseli mülk alınırsa oturum izni geçerli olur mu?,eğer satın alınan hisselerin toplam değeri alt limit mülk oturum izni rakamına ulaşıyorsa evet alabilirsiniz 
Şirket üzerinden mülk alınırsa yatırım kabul edilir mi?,yunanistan oturum izni şirket üzerinden yapılan satın almayı kabul etmez gerçek kişi olarak satın almanız gerekir 
Satın aldığım mülkü kiraya verebilir miyim?,Satın aldığımız mülkü kiraya verebilirsiniz yeni kanuna göre kısa dönemli kiralama yapamazsınız 
Gayrimenkulü satarsam oturum iznim iptal olur mu?,gayrımenkulu satarsak oturum izniniz iptal olur 
Yatırım için en uygun bölgeler hangileridir?,emlak konularının ve emlak piyasası ile alakalı olarak herşeyi kosta bey ile görüşmeniz daha iyi olur 
Atina ve Selanik dışındaki bölgelerde hangi avantajlar var?,"atina ve selanik oturum izni ile alakalı olarak çok yoğun talep aldığı için oturum iznine uygun yerler ya fiyat açısından biraz daha pahalı ya da metrekare olarak daha düşük , patras şehri fiyat , metrekare ve bina yaşı olarak daha uygun kıyaslama yapılırsa "
400.000 € ve 800.000 € arasındaki fark hangi bölgelere göre belirleniyor?,"Oturum İzninden yararlanmak için minimum miktarlar Atina, Selanik ve nüfusu 3.000'i geçen adalarda  800.000 euro, diğer bölgelerde 400.000 euro'dur. Alıncak yer 120 metrekare üstü ve tek mülk olmak zorundadır"
Mülk seçiminde nelere dikkat etmeliyim?,"bu konuyu bay kosta ile görüşmeniz daha sağlıklı olur ancak yüzeysel olarak Yunanistan’da mülk seçerken;
📍 lokasyon,
📜 yasal durum,
💶 bütçe,
🏗️ fiziksel kalite,
💼 getiri potansiyeli
ve 👨‍👩‍👧‍👦 kişisel yaşam tercihleri dikkate alınmalıdır.

Biz, tüm bu aşamalarda yatırımcılara hukuki, teknik ve stratejik danışmanlık sağlayarak en doğru kararı vermelerine yardımcı oluyoruz."
mülk seçiminde nelere dikkat etmeliyim uzun cevap ,"bu konuyu bay kosta ile görüşmeniz daha sağlıklı olur ancak genel olarak Yunanistan’da Mülk Seçiminde Dikkat Edilmesi Gereken Noktalar
🔹 1. Bölge seçimi

Mülkün bulunduğu bölge, hem yatırımın değerini hem de kiralanabilirliğini doğrudan etkiler.

Altyapısı güçlü, ulaşımı kolay ve gelişmekte olan bölgeler uzun vadede daha yüksek getiri sağlar.

Atina, Selanik, Girit, Patra gibi büyük şehirler ile turistik bölgeler yatırım açısından en çok tercih edilen alanlardır.

Yunanistan’ın Türkiye’ye yakın adalarında ise mülk alımı, üçüncü ülke vatandaşlarına yasaklanmıştır.

🔹 2. Yasal uygunluk ve tapu kontrolü

Mülkün tapusu, imar durumu ve mülkiyet belgeleri mutlaka avukat ve mühendis tarafından kontrol edilmelidir.

Herhangi bir ipotek, haciz veya imar ihlali olup olmadığı incelenmelidir.

Tapu sicilinde (Land Registry / Κτηματολόγιο) tüm kayıtların güncel olması önemlidir.

🔹 3. Bütçe planlaması

Sadece satış fiyatı değil; tapu harcı (%3,09), noter, avukat, mühendis ve devlet harçları gibi ek maliyetler de hesaba katılmalıdır.

Ayrıca yıllık emlak vergisi (ENFIA) ve mülk bakım giderleri de bütçe planına dahil edilmelidir.

🔹 4. Mülkün fiziksel durumu

Binanın yaşı, yapı kalitesi, enerji verimliliği ve bakım durumu önemlidir.

Gerekiyorsa mühendis tarafından teknik inceleme (technical inspection) yapılmalıdır.

Yeni inşa edilen binalarda genellikle %24 KDV uygulanabileceği unutulmamalıdır.

🔹 5. Kiralama potansiyeli ve getiri oranı

Yatırımı yalnızca oturum izni için değil, aynı zamanda kira geliri elde etmek amacıyla düşünüyorsanız, bölgedeki ortalama kira değerleri araştırılmalıdır.

Turistik bölgelerde kısa dönem kiralamalar (Airbnb vb.) yüksek getiri sağlayabilir, ancak yönetim profesyonel yapılmalıdır.

Bu süreçte Mülk Yönetimi Departmanımız, kiralama, sözleşme hazırlığı ve gelir takibi konularında tam destek sağlar.

🔹 6. Sigorta ve bakım

Yunanistan’da mülk sigortası zorunlu olmasa da, olası risklere karşı yaptırılması tavsiye edilir.

Düzenli bakım ve sigorta poliçesi, mülkün değerini korur ve yatırım güvenliğini artırır.

Bu konuda da şirketimizin sigorta danışmanları tarafından destek sağlanmaktadır.

🔹 7. Yaşam tarzı ve kişisel ihtiyaçlar

Eğer mülk yalnızca yatırım değil aynı zamanda yaşam amacıyla da alınacaksa;

ulaşım kolaylığı,

sağlık ve eğitim imkanları,

sosyal çevre ve yaşam kalitesi
gibi kriterler göz önünde bulundurulmalıdır.

Ofisimiz, kişisel beklentilerinize göre bölge ve mülk önerileri sunmaktadır."
Kiralık getirisi yüksek bölgeler hangileridir?,öğrencilerin yoğun olduğu bölgelerde kiralar orantılı olarak daha yüksektir 
Deniz kenarı mülkler için özel izin veya kısıtlama var mı?,bu şekil bir kısıtlama yok ancak sınırlara yakın yerlerden ev alınması konusunda kısıtlamalar var 
Tapu kontrolü (due diligence) nasıl yapılır?,tapu kontrolu çok önemli bir işlem ve aşamadır . avukat yapar avukatın hangi konularda daha işlem yaptığını size daha detaylı anlatabilirim 
"Tapuda haciz, ipotek veya borç varsa nasıl anlaşılır?",bunu avukat yapar avukatın yaptığı önemli işlerden biridir avukatın diğer yaptığı işleri anlatmamı istermisiniz 
Mülk geçmişine dair bilgiye nasıl ulaşabilirim?,bunu avukat yapar avukatın yaptığı önemli işlerden biridir avukatın diğer yaptığı işleri anlatmamı istermisiniz 
Tapu devri sırasında noter zorunlu mudur?,evet noter zorunludur noter devleti temsil eder noterin başlıca görevlerini ve hangi konularla alakalı olduğunu daha detaylı anlatmamı istermisiniz 
Tapu işlemleri ne kadar sürer?,en kısa 10 gün içinde tapu işlemleri gerçekleştirilir ortalama süre vermem gerekirse bir ay içinde mülk satın alınması gerçekleştirilirir 
Tapu kaydı hangi kurumda yapılır?,yunanistanda tapu ve kadastro müdürlükleri var her semt ve bölgenin tapu ve kadastro müdürlüğü farklıdır burada yapılır 
Tapu fotokopisi veya dijital tapu yeterli olur mu?,noterler elektronik imzalı tapu verebilirler . 
Tapu devri sırasında ödenen vergi oranı nedir?,tapu devri sırasında satın alma vergisi %3.09 ve tapu kadastroya kayıt harcı %0.8 ödenir 
Kira geliri elde edersem vergi öder miyim?,"tabi eğer kira geliriniz varsa 12.000 euroya kadar ödeyeceğiniz vergi oranı %15 tir ve skalalı devam eder, bütün tutarları göndermemi istermisiniz ?"
Mülkü satış sonrası kâr elde edersem vergi var mı?,Yunanistanda 2 kez yapacağınız alım satımlarda elde edeceğiniz gelirden ek vergi ödemezsiniz
dikkat edilmesi gereken hususlar ,"Ödeme ve Finansal İşlemler   Mülk ödemeleri banka üzerinden ve alıcı–satıcı arasında doğrudan yapılmalıdır.   Elden veya nakit ödeme kesinlikle yapılmamalıdır; aksi halde başvuru reddedilebilir. Ödeme dekontları ve satış sözleşmesi, yatırımın kanıtı olarak dosyada bulunmalıdır. Banka hesabı açılışını, mülk satın alındıktan sonra yapmak genellikle daha kolaydır."
Yunanistan’da mülk sahibi olmanın düzenli giderleri nelerdir?,Yunanistanda mülkünüze ait her yıl bir kez emlak vergisi verirsiniz. Ayrıca mülkünüzü kiraya vermeniz ve kira geliri elde etmeniz halinde yıllık gelir vergisi mükellefi olursunuz
Mülk ödemesi nasıl yapılır?,Satın aldığınız mülkün ödemesini Türkiyedeki bankanızdan Yunanistandaki satıcının hesabına transfer yaparak gerçekleştirebilirsiniz
Nakit mi yoksa banka transferiyle mi ödeme zorunlu?,Banka transferi ile ödeme yapmanız zorunludur. Nakit para getirip ödeme yapmanız söz konusu değildir
Türkiye’den transfer edilen para için belge gerekir mi?,Banka transferi için herhangi bir belge zorunluluğu yoktur
dikkat edilmesi gereken hususlar ,"Sağlık ve Sigorta  Oturum izni başvurusu için geçerli bir sağlık sigortası poliçesi zorunludur. Sigorta, Yunanistan’daki acil durum, tedavi ve hastane hizmetlerini kapsamalıdır."
Döviz transferi için özel kural var mı?,Paranın yurtdışından banka kanalıyla gelmesi yeterlidir
Krediyle mülk alımı (mortgage) oturum iznine sayılır mı?,"Oturum izninde kural; Paranın yurtdışından resmi kanallarla gelmesi gerektiği için, Yunanistandan kredi kullanarak mülk almanız halinde oturum izninden yararlanamazsınız"
Esra hanım kontakt bilgileri ,Esra hanım Türkiye departmanı yöneticisidir. Whatsapp numarası 0030 698 709 89 83 mail adresi kostas@investgreece.gr Sormak istediğiniz herhangi bir konu olması durumunda Esra hanım ile irtibata geçebilirsiniz.
Satıcıya ödemeyi avukat aracılığıyla yapabilir miyim?,
Deprem olursa evim yıkılır veya yaşanmaz duruma gelirse oturum iznimi kaybeder miyim ,Hayır evin fiziksel durumu ile oturum izni arasında herhangi bir ilişki bulunmamaktadır. oturum izninin önem verdiği husus ev karşılığında ödediğiniz rakamın kanunun belirlediği sınırlar içinde olmasıdır. 
Satın alma sözleşmesi imzalandıktan sonra cayma hakkım var mı?,satın alma sözleşmesi gerçekleştikten sonra herhangi bir cayma hakkınız bulunmamaktadır. 
Satın alma bedeli dışında başka masraflar var mı?,"satın alma bedeli dışında masraflar vardır , mülk satın alma masrafları ve oturum izni alınması ile ilgili masraflar bu konuda size detaylı bir liste vermemi istermisiniz ? "
Yunanistan’a gelmeden mülk alımı yapılabilir mi?,yunanistana gelmeden mülk alabilirsiniz daha detaylı açıklamamı istermisiniz ?
Vekaletname ile tapu devri geçerli midir?,yunanistanda satış alma işlemi siz burada olmadan yapılabilir ancak bu vekaletnamenin noterden verilmesi şartı vardır. 
Vekaletname Yunanca mı hazırlanmalı?,vekaletnameyi turkiyede türkçe ve tercume ederek verebilirsiniz ayrıca yunanistana geldiğiniz zamanda yunanlı bir noterden yunanca çıkartabilirsiniz 
Vekaletin geçerlilik süresi ne kadardır?,vekalet geçerlilik süresi eğer aksi belirtilmedikçe beş seneliktir 
Uzaktan mülk seçimi için sanal tur veya temsilci kullanmak güvenli mi?,Firmamız vize sorunu nedeniyle yada Yunanistana gelemeyen ama mülk satın almak isteyen müşterilerimiz için alabilecekleri evlerle ilgili link ve video göndermekte ve müşterinin beğenmesi halinde mülkün bulunduğu yere gidip görüntülü görüşme yapmaktadır. Bu tarz bir çalışma müşteri için aydınlatıcı olmaktadır. 
Satın alınan mülk hemen kullanılabilir mi?,Mülkü satın aldıktan ve Tapu kadastroya işlenmesinden sonra kullanabilir veya kiraya verebilirsiniz
Mülkü kısa dönemli kiraya (Airbnb gibi) verebilir miyim?,Yeni alınan mülklerin Airbnb gibi kısa dönemli kiraya verilme şansı kanunen kaldırılmıştır
Mülkü şirket ofisi olarak kullanabilir miyim?,mülkü istediğiniz gibi kullanabilirsiniz. home ofis şeklinde de kullanabilirsiniz . 
Mülkü aile üyelerim kullanabilir mi?,Satın aldığınız mülkü aile fertleriniz kullanabilir
Mülkü yenilemek veya değiştirmek istersem izin gerekir mi?,Satın aldığınız mülkü değiştirmek isterseniz malesef oturumunuz düşer. O nedenle satın aldığınız mülkü oturum iznini istediğiniz müddetçe kalıcı olarak aldığınızı düşünmelisiniz
Mülkü aldıktan sonra Yunanistan’da kalmasam bile mülkü nasıl yönetebilirim?,"Tüm mülk yönetimi sürecinizi biz üstleniyoruz. Kiralama, bakım, vergi ve ödeme takibi gibi işlemler profesyonel ekibimiz tarafından sizin adınıza yürütülmektedir."
Mülkü kiraya verirken yerel emlak ofisiyle anlaşmak zorunda mıyım?,Hayır böyle bir zorunluluğunuz bulunmamaktadır. Ancak konu hakkında uzman bir  yerel emlak ofisi ile çalışmak işlemlerinizi kolaylaştırdığı gibi size güven duygusu da verir
Yunanistan’da mülk yöneticisi (property manager) tutmak yasal mı?,Evet bu konuda hiçbir sınırlama yoktur
"Elektrik, su ve belediye kayıtları mülk sahibinin adına mı olmalı?",Belediye ve su ile ilgili evraklar ev sahibi adına düzenlenir. Elektrik faturası kiracının üzerine devredilir
Yunanistan’da Airbnb veya kısa dönem kiralamalar için lisans gerekiyor mu?,
Mülkü boş bırakırsam bakım veya sigorta zorunluluğu var mı?,Aldığınız mülkü kiralamak yada kiralamamak yada Sigorta yaptırmak tamamen sizin tercihindir Bu konuda herhangi bir zorunluluk bulunmamaktadır.
Mülkün değerini artırmak için tadilat yaparsam oturum iznini etkiler mi?,Oturum izninde önemli olan mülkü Kanunun belirttiği değerlerde satın almaktır. Daha sonra yapılan masraflar mülkün satış miktarını etkilememektedir.
Yeni inşa edilecek (off-plan) projede inşaat bitmeden oturum izni alınabilir mi?,Mülkün ödemesini tamamlamanız halinde oturum izni ile ilgili süreç başlar. İnşaatin bitmesini beklemeye gerek yoktur
"Oturum izni için yalnızca konut tipi mülk mü geçerli, ticari bina olabilir mi?",Oturum izni için yalnız konut alma zorunluluğunuz bulunmamaktadır. Ticari bir mülkte satın alabilirsiniz
Tarihi binalar veya koruma altındaki mülkler yatırım için uygun mu?,Uygun bir fiyata almanız koşuluyla yatırım için elbetteki uygundur
"Yatırımcı, Golden Visa başvurusu yapabilmek için inşaatın tamamlanmasını beklemek zorunda mı?","Hayır, inşaat halindeki bir mülkü satın alan yatırımcılar, mülkün satın alma işlemleri tamamlandığında — yani satın alınan mülkün bedelinin tamamen ödenmesi ve nihai sözleşmelerin düzenlenmesi sonrasında — Golden Visa başvurusunu hemen yapabilirler. Nihai sözleşmelerin hazırlanmasının ardından yatırımcılar Golden Visa başvuru sürecine geçebilir."
Turistik tesis veya otel alımı Golden Visa’ya dahil mi?,Evet kanunen belirtilen minimum miktar dahilindeki  ve bu miktarın üstündeki mülkler oturum izni için uygundur
Devlet mülkleri veya belediye taşınmazları satın alınabiliyor mu?,"Eğer satışta olan bir mülkse, bir yabancı olarak satın alamama gibi bir sınırlama ile karşılaşmazsınız"
Tapu kaydında hata olursa düzeltme işlemi nasıl yapılır?,Avukatlarımız bu konuda gerekli düzeltmeleri yapmaktadır
How many trips to Greece are required to complete the Golden Visa process?,A minimum of one trip is required for the main applicant to provide biometric data. Other family members can visit separately if needed.
Mülk alımında dolandırıcılık riskine karşı hangi kontroller yapılmalı?,Bu konuda yerel ve uzman bir emlak danışmanlık ofisi ile çalışmanızı öneririz
  Do children under 6 years old need to submit biometric data??,"No, biometrics data are submitted for ages above 6 years old."
Tapu iptali durumunda oturum izni geçersiz olur mu?,"Siz mülkü satın aldıktan ve mülk üzerinize geçtikten sonra oturum izni ile ilgili süreç başlayacağı için, işlemler bittikten sonra tapu iptalı gibi bir süreç yaşanma şansı yoktur"
Beyaz Belge (White Paper) düzenlendikten sonra biyometrik verilerin toplanması için ne kadar sürem var? Tüm aile üyeleri Yunanistan’ı birlikte mi ziyaret etmeli?,"Beyaz Belge’nin (White Paper) düzenlenmesinden itibaren bir yıl içinde, ana başvuru sahibinin biyometrik verilerini vermek için Yunanistan’a en az bir kez, hatta sadece bir günlüğüne bile olsa gelmesi gerekir.
Tüm aile üyelerinin aynı anda gelmesine gerek yoktur; isterlerse ayrı ayrı gelebilirler."
"Tapu kaybı veya yangın, doğal afet gibi durumlarda sigorta zorunlu mu?",Sigorta zorunluluğu bulunmamaktadır. Ancak kendi güvenliğiniz için isterseniz yaptırabilirsiniz
Ortak mülkte bir kişi payını satarsa diğer ortak etkilenir mi?,Ortak alının bir mülkte eşlerden biri hakkını satarsa oturum düşer. Ancak 250.000+250.000 euro bedelle 2 ayrı kişi olarak alınan bir mülkte tek hissenin başka bir kişiye satılması diğer kişinin oturumunu etkilemez
Bir çocuk kaç yaşından itibaren kendi adına mülk satın alabilir?,"Yunanistan’da 16 yaşından itibaren çocuklar, sınırlı yasal ehliyete sahip olurlar. Bu yaşta gayrimenkul satın alma gibi belirli işlemleri gerçekleştirebilirler, ancak bu işlemler için ebeveynlerinin veya yasal vasilerinin onayı ve katılımı gereklidir."
Yunanistan’da mülk vergileri yıllık ne zaman ödenir?,
Mülkü kiraya verdiğimde kazanç beyanı zorunlu mu?,Mülkünüzü kiraya vermeniz halinde bir sonraki yıl beyan etmeniz ve verginizi ödemeniz kanunen yükümlülüğünüz dahilindedir
Mülkü satarken elde ettiğim kâr üzerinden vergi öder miyim?,Yunanistanda yapacağınız alış satışlarda 2 kereye mahsus olmak üzere doğacak vergiden etkilenmezsiniz
Türkiye ile Yunanistan arasında çifte vergilendirme anlaşması geçerli mi?,Evet Türkiye ile Yunanistan arasında çifte vergilendirme anlaşması geçerlidir. 
Yunanistan’da banka hesabında para tutmanın limiti var mı?,Yunanistana yasal yollarla getireceğiniz paranın limiti bulunmamaktadır
Oturum izni aldıktan sonra mülkü satıp yenisini alırsam izin otomatik yenilenir mi?,Oturum izninde satın aldığınız mülkü satmanız halinde otomatik olarak oturum izniniz yenilenmez malesef oturumunuz düşer. 
yunanistan'da ev ve oturum izni alma avantajları nelerdir ne tür faydaları vardır ,"Yunanistan’da ev almanın avantajları şunlardır; Oturma İzni ve Golden Visa Kolaylığı Avrupa’da Yaşama ve Seyahat Etme Fırsatı Yüksek Kira Getirisi ve Yatırım Potansiyeli  Uygun Fiyatlı Mülk Seçenekleri
Yaşam Kalitesi ve Akdeniz Kültürü Çifte Vergilendirme Anlaşmasının Sağladığı Kolaylıklar Kültürel Yakınlık ve Uyum Sürecinin Kolaylığı Aileler İçin Eğitim ve Sağlık İmkanları"
Mülkü eşimin üzerine alırsam ikimiz de oturum izni alabilir miyiz?,"Evet mülkü eşiniz üzerine almanız halinde, sizde oturum izninden yararlanırsınız. Ayrıca hem sizin hemde eşinizin anne ve babası da oturum izninden yararlanabilecektir"
Yatırımcının vizeye uygun yatırımın ardından Yunanistan’da ek yatırım yapmasına izin veriliyor mu?,Yunanistan Golden Visa sahipleri için Yunanistan’da ek yatırımlara izin verilmektedir.
Birden fazla aile üyesi adına ayrı mülk alınırsa oturum sayısı artar mı?,"Oturum izninden mülkü alan kişinin kendisi, eşi, 21 yaş altı çocukları, annesi, babası ile eşinin anne ve babası yararlanabilir. Tek bir mülkle saydığımız bu aile fertleri yararlanabilir. O nedenle aynı aileden bu kişiler faydalanabiliyorken, yine aynı aileden bu kişilerden biri adına tekrar oturum izni için ev bakmaktansa fiyat ve bölge sınırına takılmadan yatırım amaçlı mülk satın almak daha mantıklıdır"
Yunanistan’da Eğitim ve Sağlık Hizmetlerinden Yararlanma,"Yunanistan oturum izni olan bireyler, ülkedeki devlet okullarında eğitim alabilir ve sağlık hizmetlerinden yararlanabilir. Oturum izni süresi boyunca, çocuklar devlet okullarına kayıt yaptırabilir ve yükseköğrenime devam edebilir. Bunun yanı sıra, üniversite öğrencileri için belirli avantajlar sunulmaktadır.

Sağlık hizmetlerinden yararlanabilmek için özel veya devlet destekli sağlık sigortasına sahip olmak gereklidir. Oturum izni sahipleri, Yunanistan’daki devlet hastanelerinde sağlık hizmeti alabilir. Ancak, kapsamlı sağlık hizmetlerinden faydalanmak için özel sağlık sigortası yaptırılması önerilir."
Mülk çocukların üzerine olursa ebeveyn oturum izni alabilir mi?,"Mülkü 16 yaşından itibaren çocuğunuzun üzerine yapmanız halinde, çocuğun öz anne ve babası yaş sınırı olmadan oturum izninden yararlanabilir"
Mülkü devrettiğimde ailemin izni iptal olur mu?,Mülkünüzü satmanız yada devretmeniz halinde hem sizin hemde aile fertlerinizin oturumu düşer
Dikkat Edilmesi Gerekenler,Dolandırıcılık: Güvenilir temsilcilerle çalışın ve mülkü görmeden veya vekalet vermeden kimseye ödeme yapmayın. 
Yenileme döneminde mülk değeri düşerse oturum izni tehlikeye girer mi?,Hayır böyle bir durumda oturumunuz düşmez. Burada önemli olan mülkü satın alırken ödediğiniz miktardır
Mülkü satın aldıktan sonra belediye sistemine kayıt yaptırmak gerekiyor mu?,Bu işlemler Avukatımız tarafından yapılmaktadır.
Mülk adresine Yunanistan’da posta ve resmi evrak gönderilebilir mi?,"Adres olarak Yunanistandaki adresinizi yazıp, evrakların belirttiğiniz adrese gönderilmesini isterseniz evraklar istediğiniz adrese gönderilir"
Yunanistan Altın Vize başvuru sürecinde mülakat gerekli midir?,Yunanistan Altın Vize başvuru süreci mülakat gerektirmemektedir.
Mülkü aldıktan sonra ikamet adresi olarak gösterebilir miyim?,Yunanistana taşınmanız halinde ikametgah adresinizi de taşıyabilirsiniz
Yunanistan’da Konut Kredisi Almak İçin Kimler Başvurabilir?,Yunanistanda konut kredisi çekerek oturum izninden yararlanamazsınız
Mülkü eşyalı olarak almak oturum iznini etkiler mi?,Hayır mülkü eşyalı yada eşyasız almanız oturum iznini  etkilemeyecektir. Burada önemli olan mülkün satış bedelinin minimum 250.000 euro olmasıdır
Gayrimenkul Almak Ne Kadar Sürer?,"gayrimenkul satın alma süreci genellikle 1-2 ay arasında değişir. Bu süre, mülkün durumuna, yasal işlemlere ve finansman düzenlemelerine bağlı olarak uzayabilir. "
Mülkün değer tespiti nasıl yapılır – ekspertiz gerekir mi?,"eğer isterseniz ekspertiz yapabilirsiniz, kanuni olarak bir zorunluluk yoktur "
Yunanistan’da Asgari Ücret,Yunanistan’da 2023 yılı için asgari ücret brüt 780 Euro olarak belirlenmiştir.
Mülk üzerinde kredi veya ipotek varsa yatırım geçerli olur mu?,Mülk üzerinde kredi yada borç varsa önce kredi ve borcun kalkması gerekir. Daha sonra satış işlemi yapılıp oturum izni ile ilgili süreç başlatılacaktır
